id,epic,wave,priority,title,description,acceptance_criteria,dependencies
SETUP-001,Fundação,V1,P0,Criar repositório e estrutura base,"Criar estrutura mono-repo/local com docs, src, configs, data/golden, tests e scripts.",Estrutura criada; README operacional; pastas versionadas e padrão de nomes definido.,
SETUP-002,Fundação,V1,P0,Configurar ambiente de qualidade,"Adicionar formatter, linter, type-check, testes e pre-commit.",CI local/automatizada falha em código sem lint/tipo/teste.,SETUP-001
SETUP-003,Fundação,V1,P0,Definir convenção de dados sensíveis,"Criar política de anonimização, fixtures reduzidos e armazenamento local seguro.",Fixtures de teste não expõem dados desnecessários; política documentada.,SETUP-001
SETUP-004,Fundação,V1,P1,Criar banco local de auditoria,"Persistir runs, hashes de entrada, hashes de saída, divergências e usuário operador em SQLite.","Cada execução gera run_id, manifesto e trilha de auditoria consultável.",SETUP-001
SPEC-001,Especificação,V1,P0,Documentar layout TXT Domínio 43 posições,Formalizar campos 1/11/6/4/2/9/10 e semântica de preenchimento.,Spec fixa publicada em docs; testes de parse/serialize passam com amostras.,
SPEC-002,Especificação,V1,P0,Definir schema da planilha canônica,"Modelar cabeçalhos, tipos, obrigatoriedades e colunas aceitas da planilha corrigida.",Schema versionado; parser rejeita planilhas fora do contrato.,
SPEC-003,Especificação,V1,P0,Catalogar eventos base e tipo de quantidade,"Classificar cada evento como valor, hora, flag, observação ou revisão manual.","Catálogo inclui 20,150,257,258,259,260,262,238,264,8111,48,265,faltas,atrasos.",SPEC-002
SPEC-004,Especificação,V1,P0,Definir schema de configuração por empresa,"Criar YAML/JSON para empresa, filial, processo, mapeamento de evento e matrícula.",Exemplo validado com Dela More 72/78/885/923.,SPEC-001
SPEC-005,Especificação,V1,P1,Definir taxonomia de erros e pendências,"Padronizar erros fatais, alertas, pendências de revisão e exceções permitidas.",Motor retorna códigos de erro estáveis e legíveis.,SPEC-002
DATA-001,Dados,V1,P0,Montar pacote de golden files,"Organizar planilha corrigida, TXT de importação de exemplo, Folha e Resumo por competência.",Pasta /data/golden contém dataset mínimo reproduzível por empresa/competência.,SPEC-001
DATA-002,Dados,V1,P0,Separar ativos do inventário por módulo,"Classificar e mover fontes do escritório para V1, V2 e V3 conforme matriz.",Existe inventário operacional consumível pelo time.,DATA-001
DATA-003,Dados,V2,P1,Whitelistar arquivos úteis dentro de “outros”,"Identificar Demonstrativo INSS, Encargos IRRF/INSS, líquidos e recibos por regex segura.",Parser de filenames cria tags úteis sem poluir V1.,DATA-002
ING-001,Ingestão,V1,P0,Ler XLSX preservando tipos,Implementar loader da planilha corrigida via openpyxl/pandas com suporte a horas e números BR.,Leitura consistente em máquinas diferentes; testes com amostras reais.,SPEC-002
ING-002,Ingestão,V1,P0,Detectar e limpar linhas não lançáveis,"Remover cabeçalhos auxiliares, totais, linhas vazias e observações fora do schema.",Somente linhas elegíveis seguem adiante.,ING-001
ING-003,Ingestão,V1,P0,Normalizar números e moeda brasileira,"Tratar vírgula, ponto, strings e células mistas.",Valores canonizados em Decimal sem perda.,ING-001
ING-004,Ingestão,V1,P0,Normalizar horas,"Converter time, HH:MM, textos simples e variações controladas para um tipo interno de hora.",Horas serializam corretamente para o campo de 9 posições.,ING-001
